MasterIndex,Patent,IssueDate,AppDate,OrigAppDate,ReissueOf,Renewal,Continuation,Division,Class,Subclass,OtherClasses,IPCCodes,Claims,NumInventors,FirstInventor,InvCity,InvState,InvCountry,Assignee,AssCity,AssState,AssCountry,NumRefs,NumUSRefs,NumUtilityRefs,NumDesignRefs,NumPlantRefs,NumReissueRefs,NumForReferences,OCPDate,MCPDate,USPQDocketNum,DJ,PatDef,DCPub,DCEdition,DCVolume,DCPage,DCNumPatents,DCDecision,DCState,District,CAFCEra,DistDate,Patentee,AllegInf,AllegInf2,ACPub,ACEdition,ACVolume,ACPage,ACNumPatents,FirstAC,ACDate,Affirmed,ACDecision,DC2ndDecDate,DC2ndCite,DC2ndDec,AC2ndDecDate,AC2ndCite,AC2ndDecision
12,891895,6/30/08,4/27/07,4/27/07,na,0,0,0,220,616,220/642,na,3,1,"Young, Frank E.",Brooklyn,NY,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,C-1278,0,0,1,1,13,127,1,V&I,na,USCC,0,5/2/32,"Muerer Steel Barrel Co., Inc.",The United States,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
13,892603,7/7/08,7/10/07,7/10/07,na,0,0,0,423,603,none,C01G,1,2,"Luther, Ellerslie E.",Watsonville,CA,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,770,0,0,1,1,5,460,1,V&I,OH,ND,0,5/16/30,California Spray Chemical Co.,The Sherwin-Williams Co.,none,1,1,15,124,1,6,10/14/32,0,rev(NINF),na,na,na,na,na,na
14,899319,9/22/08,10/8/06,10/8/06,na,0,0,0,415,173.5,415/193; 416/238,F01D,10,2,"Parsons, Charles Algernon",Newcastle-upon-Tyne,na,GB,none,na,na,omitted,na,na,na,na,na,na,na,na,na,D-503,0,0,1,1,15,161,5,INV,na,USCC,0,11/14/32,"Executors of the estate of Charles Algernon Parsons, and Parsons Marine Steam Turbine Co., Ltd.",The United States,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
15,908125,12/29/08,8/15/07,8/15/07,na,0,0,0,206,323,83/920,na,2,1,"Overbury, Frederick C.",New York,NY,US,Flintkote Manufacturing Company,Rutherford,NJ,US,na,na,na,na,na,na,na,na,na,notcapt,0,0,1,1,3,268,2,INV,NJ,na,0,11/23/29,The Flintokote Co.,National Asbestos Manufacturing Co.,none,1,1,11,36,2,3,10/10/31,0,rev(V&I),na,na,na,na,na,na
16,909568,1/12/09,3/28/08,3/28/08,na,0,0,0,109,26,109/59R; 109/72; 109/82,A62C; F41H,6,1,"Ely, Sumner A.",Yonkers,NY,US,Ely-Norris Safe Company,Perth Amboy,NJ,US,na,na,na,na,na,na,na,na,na,notcapt,0,0,0,nocite,nocite,nocite,2,V&I,NY,SD,0,unknown,Ely Norris Safe Co.,Mosler Safe Co.,none,1,1,16,328,2,2,1/9/33,0,rev(INV),na,na,na,na,na,na
17,914678,3/9/09,5/18/08,5/18/08,na,0,0,0,294,57,none,B25G,2,1,"Skelton, Frederick",Hamilton,Ontario,CA,"Skelton, Frederick; McCarty, Edward W.",Hamilton; New York,Ontario; NY,CA; US,na,na,na,na,na,na,na,na,na,notcapt,0,0,0,nocite,nocite,nocite,2,NINF,WV,ND,0,unknown,Executors of the Estate of Frederick Skelton and Skelton Handle Co.,Baldwin Tool Works,none,1,1,13,97,2,4,4/12/32,0,rev(V&I),na,na,na,na,na,na
18,923121,5/25/09,11/18/04,8/25/1896,na,0,0,1,400,442.1,400/236.1; 400/261; 400/266.1; 400/274; 400/354.1; 400/355; 400/435; 400/443; 400/487; 400/649,na,30,1,"Hillard, Frederic W.",Tottenville,NY,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,notcapt,0,0,0,nocite,nocite,nocite,1,NINF,NY,SD,0,unknown,"Typewriters Hilliardized, Inc.",Corona Typewriter Co.,none,1,1,6,332,1,2,8/4/30,1,affirmed,na,na,na,na,na,na
19,935222,9/28/09,7/21/08,7/21/08,na,0,0,0,89,43.01,none,F41A,1,1,"Olsson, Emil",Bofors,na,SE,none,na,na,omitted,na,na,na,na,na,na,na,na,na,B-154,0,0,1,1,9,111,1,V&I,na,USCC,0,4/6/31,Emil Olsson,The United States,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
20,949272,2/15/10,10/11/09,6/23/09,na,0,0,1,132,206,424/70.4,na,3,1,"Herrmann, Paul E.",New York,NY,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,notcapt,0,0,1,1,2,131,4,INV,NY,SD,0,5/25/29,Paul E. Herrmann et al.,Charles Nessler et al.,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
21,959527,5/31/10,6/23/09,6/23/09,na,0,0,0,132,230,none,A45D,2,1,"Herrmann, Paul E.",New York,NY,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,notcapt,0,0,1,1,2,131,4,NINF,NY,SD,0,5/25/29,Paul E. Herrmann et al.,Charles Nessler et al.,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
22,961165,6/14/10,10/15/06,10/15/06,na,0,0,0,623,30,623/27; 623/36,A61F,12,1,"Rowley, James F.",Chicago,IL,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,1113,0,0,1,1,3,138,1,INV,NY,WD,0,10/16/29,The J.F. Rowley Co.,Chester B. Winn Inc.,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
23,971029,9/27/10,9/10/08,9/10/08,na,0,0,0,114,291,none,B63B,10,1,"Fauber, William Henry",Chicago,IL,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,41941,0,0,1,1,49,386,2,INV,na,USCC,0,3/3/41,Fauber,United States,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
24,979144,12/20/10,10/31/07,10/31/07,na,0,0,0,455,40,343/787; 343/846,H04B,9,1,"Fessenden, Reginald A.",Brant Rock,MA,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,C-36,0,0,1,1,16,142,4,INV,na,USCC,0,1/9/33,National Electric Signaling Co. and International Devices Co.,The United States,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
25,1000188,8/8/11,3/7/08,3/7/08,na,0,0,0,184,6.2,123/142.5R; 123/196AB; 184/104.1; 184/104.2,F01M,21,1,"Morse, Alfred B.",South Easton,MA,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,H-538,0,0,1,1,20,136,1,NINF,na,USCC,0,1/8/34,executors of estate of Alfred B. Morse,The United States,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
26,1003155,9/12/11,12/20/10,12/20/10,na,0,0,0,2,90,none,A41D,4,1,"Simon, Myer",New York,NY,US,"Wolpert, Rubin",Brooklyn,NY,US,na,na,na,na,na,na,na,na,na,notcapt,0,0,1,1,1,144,1,V&I,NY,ND,0,3/29/29,"Simon, Myer","Clinton Knitting Co., Inc.",none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
27,1012820,12/26/11,5/6/10,5/6/10,na,0,0,0,473,158,473/163; 473/171,na,8,1,"Cory, Charles B.",Chicago,IL,US," Cory, Charles B.; Osgood, Wilfred H.",Chicago,IL,US,na,na,na,na,na,na,na,na,na,notcapt,0,0,0,nocite,nocite,nocite,3,NINF,MN,na,0,unknown,"Chester-Pollard Amusement Co., Inc.","Popular Games, Inc., et al.",none,1,1,2,421,3,8,8/29/29,1,affirmed,na,na,na,na,na,na
28,1014002,1/9/12,9/9/10,9/9/10,na,0,0,0,334,89,334/71; 334/78,G04C; H03B,4,1,"Hogan, Jr., John L.",Brant Rock,MA,US,National Electric Signaling Company,Pittsburgh,PA,US,na,na,na,na,na,na,na,na,na,43-81,0,0,1,1,4,118,1,V&I,NY,SD,0,1/13/30,John V.L. Hogan,"John Wanamaker, New York",none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
29,1014315,1/9/12,3/4/08,3/4/08,na,0,0,0,160,133,160/235; 425/DIG.226,na,3,1,"McCloud, Edward H.",Columbus,OH,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,notcapt,0,0,0,nocite,nocite,nocite,2,INV,IL,ND,0,unknown,The Kinnear Mfg. Co.,"Majestic Iron Works, Inc.",none,1,1,7,244,2,7,12/3/30,1,affirmed,na,na,na,na,na,na
30,1018502,2/27/12,6/6/05,6/6/05,na,0,0,0,75,245,106/284.02; 419/4; 428/606; 445/48,na,3,2,"Just, Alexander",Budapest,na,HU,General Electric Company,na,na,omitted,na,na,na,na,na,na,na,na,na,notcapt,0,0,0,nocite,nocite,nocite,2,V&I,NJ,na,0,unknown,General Electric Co.,Desmond Incandescent Lamp Co.,"Martin F., G.M., and William J. Desmond",1,1,10,213,2,3,9/18/31,1,affirmed,na,na,na,na,na,na
31,1018833,2/27/12,6/26/09,6/26/09,na,0,0,0,310,167,none,H02K,16,1,"Lincoln, John C.",East Cleveland,OH,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,notcapt,0,0,0,nocite,nocite,nocite,3,NINF,OH,SD,0,unknown,Brown-Brockmeyer Co.,Master Electric Co.,none,1,1,25,229,3,6,4/15/35,1,affirmed,na,na,na,na,na,na
32,1024682,4/30/12,9/13/09,9/13/09,na,0,0,0,114,291,none,B63B,29,1,"Fauber, William Henry",Nanterre,na,FR,none,na,na,omitted,na,na,na,na,na,na,na,na,na,41941,0,0,1,1,49,386,2,V&I,na,USCC,0,3/3/41,Fauber,United States,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
33,1025170,5/7/12,6/1/11,6/1/11,na,0,0,0,402,39,281/36; 402/19; 402/75; 402/77,B42F,8,1,"Trussell, Clarence D.",Poughkeepsie,NY,US,Trussell Manufacturing Company,Poughkeepsie,NY,US,na,na,na,na,na,na,na,na,na,3846,0,0,1,1,6,180,1,V&I,NY,ED,0,8/20/30,Trussell Mfg. Co.,Irving-Pitt Mfg. Co. (Wilson Jones subs. In AC case),none,1,1,10,47,1,2,6/29/31,1,affirmed,na,na,na,na,na,na
34,1032394,7/16/12,4/12/12,4/12/12,na,0,0,0,89,1.54,114/20.1; 114/239; 89/1.51,B64D,5,1,"Fiske, Bradley A.",na,na,na,none,na,na,omitted,na,na,na,na,na,na,na,na,na,notcapt,0,0,1,1,2,135,1,V&I,DC,na,0,7/2/29,Bradley A. Fiske,Curtis D. Wilbur,"Charles B. McVay, Jr., William A. Moffett, and Claude C. Bloch",na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
35,1040461,10/8/12,11/27/11,11/27/11,na,0,0,0,2,203,2/172; 2/195.8; 2/209.11; D2/880,A42B,2,1,"Thorpe, Gertrude",Philadelphia,PA,US,"Thorpe, Gertrude; Hogg, William",Philadelphia,PA,US,na,na,na,na,na,na,na,na,na,4265,0,0,1,1,10,127,1,NINF,MA,na,0,9/3/31,Gertrude Thorpe et al.,William Filene's Sons Co.,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
36,1050433,1/14/13,5/14/10,5/14/10,na,0,0,0,112,25,112/27,D05B,13,1,"Davis, Edwin O.",Paducah,KY,US,Southern Textile Machinery Company,Paducah,KY,US,na,na,na,na,na,na,na,na,na,notcapt,0,0,0,nocite,nocite,nocite,1,INV,TN,ED,0,unknown,Southern Textile Machinery Co.,United Hosiery Mills Corp.,none,1,1,2,183,1,6,6/29/29,0,rev(V&I),na,na,na,na,na,na
37,1050441,1/14/13,7/27/05,7/27/05,na,0,0,0,370,278,343/745; 343/858; 370/281,na,29,1,"Fessenden, Reginald A.",Brant Rock,MA,US,"Kintner, Samuel M.; Barrett, Halsey M.",Pittsburgh; Bloomfield,PA; NJ,US,na,na,na,na,na,na,na,na,na,C-36,0,0,1,1,16,142,4,V&I,na,USCC,0,1/9/33,National Electric Signaling Co. and International Devices Co.,The United States,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
38,1050441,1/14/13,7/27/05,7/27/05,na,0,0,0,370,278,343/745; 343/858; 370/281,na,29,1,"Fessenden, Reginald A.",Brant Rock,MA,US,"Kintner, Samuel M.; Barrett, Halsey M.",Pittsburgh; Bloomfield,PA; NJ,US,na,na,na,na,na,na,na,na,na,34664,0,0,1,1,17,95,2,V&I,na,USCC,0,3/13/33,National Electric Signaling Co. and International Devices Co.,The United States,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
39,1050728,1/14/13,8/21/05,7/27/05,na,0,0,1,370,278,178/69A; 455/63.1,na,14,1,"Fessenden, Reginald A.",Washington,DC,US,"Kintner, Samuel M.; Barrett, Halsey M.",Pittsburgh; Bloomfield,PA; NJ,US,na,na,na,na,na,na,na,na,na,C-36,0,0,1,1,16,142,4,V&I,na,USCC,0,1/9/33,National Electric Signaling Co. and International Devices Co.,The United States,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
40,1050728,1/14/13,8/21/05,7/27/05,na,0,0,1,370,278,178/69A; 455/63.1,na,14,1,"Fessenden, Reginald A.",Washington,DC,US,"Kintner, Samuel M.; Barrett, Halsey M.",Pittsburgh; Bloomfield,PA; NJ,US,na,na,na,na,na,na,na,na,na,34664,0,0,1,1,17,95,2,V&I,na,USCC,0,3/13/33,National Electric Signaling Co. and International Devices Co.,The United States,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
41,1058210,4/8/13,12/30/10,12/30/10,na,0,0,0,29,522.1,138/89; 184/109; 220/305; 285/382; 285/901; 292/DIG.10,na,4,2,"Welch, Allie Ray",Pontiac,MI,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,notcapt,0,0,0,nocite,nocite,nocite,1,V&I,MI,ED,0,unknown,Hudson Motor Car Co.,American Plug Co. et al.,none,1,1,6,29,1,6,6/16/30,0,rev(INV),na,na,na,na,na,na
42,1058285,4/8/13,6/15/12,6/15/12,na,0,0,0,5,403,none,A47C,7,1,"Young, Leonard A.",Detroit,MI,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,notcapt,0,0,0,nocite,nocite,nocite,3,V&I,MI,ED,0,unknown,"L.A. Young Industries, Inc.",Reynolds Spring Co.,none,1,1,3,348,3,6,12/3/29,1,affirmed,na,na,na,na,na,na
43,1059329,4/15/13,9/18/12,5/4/12,na,0,0,1,266,63,144/144.1; 33/25.2,B23K,6,1,"Bucknam, Worthy C.",Jersey City,NJ,US,Davis-Bournonville Company,New York,NY,US,na,na,na,na,na,na,na,na,na,2265,0,0,1,1,3,257,1,V&I,OH,ND,0,11/8/29,"Air Reduction Co., Inc.",The White Tool & Supply Co.,none,1,1,9,285,1,6,4/15/31,1,affirmed,na,na,na,na,na,na
44,1066468,7/8/13,2/16/12,2/16/12,na,0,0,0,219,95,219/96; 256/10; 76/6; 76/DIG.5,na,21,1,"Chubb, Lewis W.",Edgewood Park,PA,US,Westinghouse Electric and Manufacturing Company,na,na,omitted,na,na,na,na,na,na,na,na,na,notcapt,0,0,0,nocite,nocite,nocite,2,INV,OH,ND,0,unknown,Westinghouse Electric & Manufacturing Co.,Cleveland H. Quackenbush (d/b/a C.H. Quackenbush Co.),none,1,1,11,44,2,6,11/10/31,0,rev(V&I),na,na,na,na,na,na
45,1073644,9/23/13,8/17/11,8/17/11,na,0,0,0,209,467,209/494,B03B,27,3,"Sutton, Henry M.",Dallas,TX,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,notcapt,0,0,0,nocite,nocite,nocite,2,V&I,WV,SD,0,unknown,"Sutton, Steele & Steele",Gulf Smokeless Coal Company et al.,none,1,1,3,82,2,4,10/15/29,1,affirmed,na,na,na,na,na,na
46,1074187,9/30/13,11/20/07,11/20/07,na,0,0,0,403,389,411/532; 49/1,na,6,1,"McCloud, Edward H.",Columbus,OH,US,The Kinnear Manufacturing Company,Columbus,OH,US,na,na,na,na,na,na,na,na,na,notcapt,0,0,0,nocite,nocite,nocite,2,V&I,IL,ND,0,unknown,The Kinnear Mfg. Co.,"Majestic Iron Works, Inc.",none,1,1,7,244,2,7,12/3/30,1,affirmed,na,na,na,na,na,na
47,1084080,1/13/14,10/30/11,10/30/11,na,0,0,0,196,110,196/106; 196/107; 196/134; 196/138,C10G,9,1,"Gillons, George H.",Los Angeles,CA,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,2563K,0,0,1,1,21,605,1,NINF,CA,ND,0,4/2/34,"George H. Gillons, Edward P. Shaw, and Richfield Oil Co.",Shell Co. of California,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
48,1089405,3/10/14,11/1/12,3/5/09,na,1,0,0,405,287,none,E02D,16,1,"Ferguson, William S.",Cleveland,OH,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,3965,0,0,1,1,6,127,1,V&I,MI,ED,0,8/6/30,The Dock and Terminal Engineering Co. et al.,The Wabash Railway Co.,none,1,1,12,505,1,6,3/11/32,0,rev(NINF),na,na,na,na,na,na
49,1089405,3/10/14,11/1/12,3/5/09,na,1,0,0,405,287,none,E02D,16,1,"Ferguson, William S.",Cleveland,OH,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,M-65,0,0,1,1,69,350,1,NINF,na,USCC,0,5/6/46,Ferguson et al.,United States,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
50,1089405,3/10/14,11/1/12,3/5/09,na,1,0,0,405,287,none,E02D,16,1,"Ferguson, William S.",Cleveland,OH,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,notcapt,0,0,0,nocite,nocite,nocite,1,V&I,MI,ED,0,unknown,William S. Ferguson,Detroit Railway & Harbor Terminals,none,1,1,6,141,1,6,6/12/30,1,affirmed,na,na,na,na,na,na
51,1089405,3/10/14,11/1/12,3/5/09,na,1,0,0,405,287,none,E02D,16,1,"Ferguson, William S.",Cleveland,OH,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,notcapt,0,0,0,nocite,nocite,nocite,1,NINF,MI,ED,0,unknown,Carey et al.,Ford Motor Co.,none,1,1,47,405,1,6,11/7/40,1,affirmed,na,na,na,na,na,na
52,1089907,3/10/14,12/17/12,3/20/12,na,0,0,1,200,268,200/270; 200/275; 219/162; 219/74; 228/179.1; 228/254; 420/431; 428/665; 428/929; 428/939; 76/5.1; 76/DIG.12,H01H,7,1,"Coolidge, William D.",Schenectady,NY,US,General Electric Company,na,na,omitted,na,na,na,na,na,na,na,na,na,4597,0,0,1,1,6,213,1,V&I,NY,ED,0,6/26/30,"P.R. Mallory & Co., Inc.",P. Sorensen Mfg. Co.,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
53,1090183,3/17/14,3/13/13,3/13/13,na,0,0,0,402,11,402/74,B42F,15,1,"Wiggington, George P.",Kalamazoo,MI,US,Kalamazoo Loose Leaf Binder Company,Kalamazoo,MI,US,na,na,na,na,na,na,na,na,na,notcapt,0,0,0,nocite,nocite,nocite,3,INV,MI,WD,0,unknown,"Remington-Rand, Inc.",Master-Craft Corp.,none,1,1,19,194,3,6,10/13/33,1,affirmed,na,na,na,na,na,na
54,1090881,3/24/14,10/13/13,10/13/13,na,0,0,0,403,152,16/276; 623/21.18; 623/55,F16J,3,1,"Rowley, James F.",Chicago,IL,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,notcapt,0,0,0,nocite,nocite,nocite,4,INV,OH,ND,0,unknown,The J.F. Rowley Co.,Albert T. Rowley,none,1,1,5,212,4,6,4/11/30,1,affirmed,na,na,na,na,na,na
55,1092078,3/31/14,12/16/10,12/16/10,na,0,0,0,152,325,152/379.3; 152/386,B60C,12,1,"Overman, Max Cyrus",New York,NY,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,notcapt,0,0,1,1,2,447,2,V&I,NY,SD,0,9/10/29,"Overman Cushion Tire Rubber Co., Inc.","Goodyear Tire & Rubber Co., Inc.",none,1,1,5,250,1,2,4/4/30,1,affirmed,na,na,na,na,na,na
56,1092078,3/31/14,12/16/10,12/16/10,na,0,0,0,152,325,152/379.3; 152/386,B60C,12,1,"Overman, Max Cyrus",New York,NY,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,3686,0,0,1,1,12,280,1,V&I,OH,ND,0,1/12/32,"Overman Cushion Tire Co., Inc.","Goodyear Tire & Rubber Co., Inc.",none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
57,1092462,4/7/14,11/28/13,11/28/13,na,0,0,0,29,37R,82/159,na,13,1,"Trobeck, Enoch",Charlottenburg,na,DE,The National Acme Manufacturing Company,Cleveland,OH,US,na,na,na,na,na,na,na,na,na,notcapt,0,0,0,nocite,nocite,nocite,1,V&I,OH,ND,0,unknown,The National Acme Co.,The Cleveland Automatic Machine Co.,none,1,1,11,84,1,6,10/9/31,1,affirmed,na,na,na,na,na,na
58,1093009,4/14/14,10/31/12,10/31/12,na,0,0,0,362,422,none,B60Q,8,1,"Ramsey, Jr., James C.",Andover,MA,US,"Herrick Aiken Company, Incorporated",Lawrence,MA,US,na,na,na,na,na,na,na,na,na,notcapt,0,0,0,nocite,nocite,nocite,6,NINF,IL,ND,0,unknown,Unity Mfg. Co.,International Spotlight Corp.,Lorraine Corp.,1,1,12,379,6,7,2/9/32,0,rev(INV),na,na,na,na,na,na
59,1094785,4/28/14,2/24/13,2/24/13,na,0,0,0,134,80,134/152; 134/99.1,na,7,1,"Green, Fred H.",San Francisco,CA,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,201; 331,0,0,1,1,20,155,12,NINF,NY,WD,0,11/15/33,Harry D. Lathrop,"Oakes & Burger, Inc.",none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
60,1095775,5/5/14,6/13/10,6/13/10,na,0,0,0,301,30,152/400; 152/427,B60B,14,1,"Baker, Erle K.",Chicago,IL,US,Universal Rim Company,Chicago,IL,US,na,na,na,na,na,na,na,na,na,notcapt,0,0,0,nocite,nocite,nocite,1,NINF,IL,ND,0,unknown,Universal Rim Co.,Motor Rim & Wheel Corp.,none,1,1,1,132,1,7,4/17/29,1,affirmed,na,na,na,na,na,na
61,1099626,6/9/14,7/15/12,7/15/12,na,0,0,0,292,227,292/226; 292/239; 292/DIG.71,na,5,1,"Stevenson, Samuel Price",Chester,PA,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,1444,0,0,1,1,4,448,2,V&I,MD,na,0,2/24/30,Jamison Cold Storage Door Co.,"Victor Cooler Door Co., Inc.",none,1,1,7,221,2,4,10/21/30,0,rev(NINF),na,na,na,na,na,na
